EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
21.1224489796	21.1224489796	0.0235981	0.68532	0.0	0.360553808878	1035
23.4186046512	23.4186046512	0.00224724	0.685136	0.124426788561	0.378132493831	2042
24.6341463415	24.6341463415	0.00329818	0.676595	0.208351040881	0.265990072893	3052
34.935483871	34.935483871	0.00514056	0.668367	-1.34554151407	0.272654804686	4135
30.7272727273	30.7272727273	0.00355545	0.662335	-0.103238184466	0.443096955783	5149
33.7666666667	33.7666666667	0.00115959	0.658056	0.406599912821	0.442755612737	6162
32.6774193548	32.6774193548	0.00137441	0.639664	0.374197483313	0.425168272715	7175
47.9090909091	47.9090909091	0.00125902	0.636273	0.215439637479	0.351687011192	8229
43.7826086957	43.7826086957	0.000797409	0.640929	0.170884401772	0.37841370038	9236
46.4090909091	46.4090909091	0.00275494	0.627855	0.286674449386	0.362474779687	10257
55.1	55.1	0.000881123	0.61969	0.21173085766	0.428740191243	11359
48.7826086957	48.7826086957	0.000747096	0.60233	0.334919618874	0.344795644937	12481
59.8235294118	59.8235294118	0.000397269	0.609314	0.517294495475	0.55398930905	13498
48.2272727273	48.2272727273	0.00241505	0.599879	0.467408680614	0.490028197962	14559
44.7391304348	44.7391304348	0.00285587	0.589643	0.495244290948	0.549684555744	15588
60.0	60.0	0.000387656	0.591436	0.458055914191	0.517213598914	16608
54.2631578947	54.2631578947	0.000475492	0.584708	0.513027531952	0.51987853801	17639
50.3	50.3	0.0008709	0.57084	0.445312233074	0.472426246609	18645
56.4444444444	56.4444444444	0.00147927	0.57005	0.556306443441	0.59198193324	19661
66.1875	66.1875	0.000881568	0.56657	0.416548807291	0.530745582661	20720
61.1176470588	61.1176470588	0.000623062	0.563565	0.361156003505	0.510133322416	21759
59.0588235294	59.0588235294	0.000596359	0.56904	0.568405828231	0.596289740785	22763
56.0555555556	56.0555555556	0.00239018	0.555501	0.516476486676	0.531908810401	23772
78.6153846154	78.6153846154	0.000263245	0.550214	0.280716253823	0.394162951446	24794
66.0625	66.0625	0.000344103	0.551381	0.437078474688	0.506468583526	25851
64.1875	64.1875	0.000145522	0.553191	0.562013641033	0.577354793975	26878
66.0	66.0	0.000780106	0.545071	0.442760110141	0.568309624204	27934
67.0	67.0	0.000338888	0.550299	0.333117053871	0.570381102457	28939
67.7333333333	67.7333333333	0.000709238	0.543685	0.51627882899	0.57559514744	29955
87.1666666667	87.1666666667	0.000537561	0.547195	0.319321284148	0.469050102304	31001
71.8	71.8	0.00129695	0.543876	0.469078352028	0.571747927932	32078
75.4285714286	75.4285714286	0.000249921	0.532338	0.341626937368	0.390397759576	33134
82.0	82.0	0.000652601	0.529417	0.490878615495	0.538361781685	34282
76.1428571429	76.1428571429	0.00404231	0.519083	0.364502309437	0.51292951104	35348
67.5625	67.5625	0.0049234	0.517452	0.428127216419	0.590619476743	36429
86.8333333333	86.8333333333	0.00160933	0.535933	0.422594139425	0.540976276612	37471
78.0714285714	78.0714285714	0.00160908	0.536456	0.391596767698	0.619042511592	38564
81.5384615385	81.5384615385	0.000949647	0.525963	0.46558611422	0.516256037524	39624
80.3571428571	80.3571428571	0.00171254	0.523877	0.596385170988	0.740815765173	40749
91.7272727273	91.7272727273	0.00678971	0.517188	0.663071455554	0.72276717721	41758
120.555555556	120.555555556	0.00870963	0.524757	0.269608959058	0.722605335645	42843
109.3	109.3	0.00640942	0.534573	-4.80921293017	0.62048611197	43936
112.666666667	112.666666667	0.00287892	0.533574	0.483040848117	0.680821835595	44950
84.9166666667	84.9166666667	8.94643e-05	0.515148	0.758584596193	0.822003835952	45969
80.1538461538	80.1538461538	0.00189825	0.524328	0.594497099584	0.694954857106	47011
85.1666666667	85.1666666667	0.00525139	0.49848	0.636166109823	0.706133665982	48033
126.25	126.25	0.00761807	0.500594	-3.09664403208	0.631297128846	49043
146.571428571	146.571428571	0.00920038	0.524429	-0.56579787163	0.759881440195	50069
169.333333333	169.333333333	0.00496989	0.512906	0.483233103745	0.643404093001	51085
144.714285714	144.714285714	0.00119027	0.515778	0.517765191346	0.838177356629	52098
114.555555556	114.555555556	0.000898497	0.509337	0.686932231774	0.756425813514	53129
116.444444444	116.444444444	0.00166888	0.50088	0.252688871146	0.498630939515	54177
144.142857143	144.142857143	0.00452582	0.503796	0.592432507147	0.750304547683	55186
175.666666667	175.666666667	0.00882923	0.49182	0.746413110733	0.804053361428	56240
157.0	157.0	0.00826518	0.494413	-0.0116862713387	0.650543846459	57339
159.142857143	159.142857143	0.00176727	0.509943	0.273390292139	0.559971506391	58453
154.142857143	154.142857143	0.000855828	0.516666	0.673759823318	0.82168518901	59532
143.571428571	143.571428571	0.000509944	0.503799	0.334129291084	0.564836624065	60537
159.142857143	159.142857143	0.000401396	0.498437	0.171171322278	0.683114308597	61651
155.571428571	155.571428571	0.000271112	0.49907	0.650078539368	0.879551185289	62740
181.333333333	181.333333333	0.00117505	0.503363	0.324967842509	0.605203611746	63828
126.625	126.625	0.00108266	0.508388	0.815874125283	0.921400758946	64841
153.857142857	153.857142857	0.000444568	0.506163	0.740852722803	0.855743108539	65918
147.714285714	147.714285714	0.000429973	0.499665	0.588921229727	0.831301208345	66952
179.833333333	179.833333333	0.000650529	0.507502	0.755370764322	0.912622654942	68031
161.142857143	161.142857143	0.000452602	0.494635	0.581925588583	0.638169372697	69159
188.666666667	188.666666667	0.000369877	0.503004	0.605292139726	0.790576145823	70291
188.0	188.0	0.00048666	0.4924	0.584810883761	0.731780003088	71419
