EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
169.0	169.0	6.20072e-05	0.557018	-0.0341889424519	0.00574783537843	67072
184.5	184.5	0.000428164	0.558003	0.0179677741145	0.0170919343235	68179
189.166666667	189.166666667	7.87865e-05	0.56822	0.0287072775504	-0.000393424911492	69314
170.285714286	170.285714286	0.000223523	0.552535	-0.0489635657359	-0.0429635559078	70506
181.0	181.0	2.97054e-05	0.544351	-0.0243348343978	-0.00948995712623	71592
200.0	200.0	0.000289318	0.553692	0.00688106822768	-0.00817741896594	72792
160.857142857	160.857142857	5.06116e-05	0.550141	-0.0088050744448	-0.0140011853695	73918
186.666666667	186.666666667	0.000359992	0.546394	-0.0349405098362	-0.0344524994091	75038
197.833333333	197.833333333	0.000400179	0.560973	-0.0211359277086	-0.0330835109918	76225
193.5	193.5	2.56595e-05	0.561251	-0.033371852739	-0.0394677059349	77386
194.666666667	194.666666667	2.09993e-05	0.564846	-0.0389238082166	-0.0360871499455	78554
200.0	200.0	2.7975e-05	0.553985	-0.0199197395637	-0.0186324477393	79754
194.833333333	194.833333333	3.63763e-05	0.557043	-0.0253011623782	-0.0237607867921	80923
199.166666667	199.166666667	6.18524e-05	0.557351	-0.0305649495233	-0.0241692557099	82118
200.0	200.0	9.00998e-05	0.569631	-0.0172697718263	-0.0154621452263	83318
200.0	200.0	0.000453994	0.547804	-0.0331105548821	-0.0310702447584	84518
200.0	200.0	4.13998e-05	0.563696	-0.0218499291463	-0.0190463209123	85718
193.5	193.5	4.1704e-05	0.559094	-0.0156211898675	-0.00788530466262	86879
183.833333333	183.833333333	0.00057142	0.54757	-0.0167315011113	0.013606067129	87982
187.5	187.5	0.00108363	0.556355	0.0146097729704	0.0300231756599	89107
200.0	200.0	0.00103317	0.553727	0.0177127678384	0.00185628972287	90307
189.5	189.5	0.000813526	0.551938	-0.00256981795054	-0.0137589522925	91444
181.166666667	181.166666667	0.000683232	0.553083	-0.0132246784666	0.0295460031194	92531
180.666666667	180.666666667	0.000127732	0.551828	0.0319945171396	0.0623289907022	93615
163.571428571	163.571428571	0.00012874	0.548677	0.0649404413	0.101163311705	94760
176.666666667	176.666666667	0.000687923	0.540456	0.0603359037	0.0588250754442	95820
179.166666667	179.166666667	0.000973187	0.558398	0.0858705811591	0.0428319729279	96895
187.666666667	187.666666667	0.000464375	0.548006	0.0268035022285	0.00146300436562	98021
200.0	200.0	0.000772684	0.537611	0.000413939516347	-0.0214894942953	99221
200.0	200.0	0.000188112	0.557823	-0.0125036835295	-0.0189835544451	100421
193.166666667	193.166666667	0.000201661	0.544793	-0.039644520066	-0.0309960984602	101580
198.0	198.0	0.000162517	0.552122	-0.0204623128679	-0.013848496199	102768
200.0	200.0	0.0001964	0.554185	-0.00575471736021	-0.00486090515702	103968
200.0	200.0	0.000328078	0.56288	-0.00214449130547	-0.00234330606215	105168
200.0	200.0	0.000435305	0.554528	0.00355257442417	0.00358548820826	106368
200.0	200.0	0.000533013	0.56196	0.000687666004489	0.000717822637	107568
200.0	200.0	0.000434535	0.553903	-0.00594097862458	-0.00538913826075	108768
